اسم الطالب,رقم الهوية,رقم جوال ولي الأمر,الصف والشعبة
محمد خليل النجار,401234561,0592898375,الصف السابع - شعبة 1
أحمد علي حسن,401234562,0569876543,الصف السابع - شعبة 1
يوسف محمود القدوة,401234563,0591234567,الصف السابع - شعبة 1
عمر كمال الشوا,401234564,0561122334,الصف السابع - شعبة 2
محمود إبراهيم الأغا,401234565,0599112233,الصف السابع - شعبة 2
بلال عبد الله صيام,401234566,0568877665,الصف السابع - شعبة 2
إياد حسن المدهون,401234567,0593322114,الصف الثامن - شعبة 1
طارق سليم فياض,401234568,0567788990,الصف الثامن - شعبة 1
محمود رامي قديح,401234569,0591144778,الصف العاشر - شعبة 1
كرم زياد حسنين,401234570,0569933112,الصف العاشر - شعبة 1
